Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
Malaysia,BBT,MO,Mal,1307.50,-86,180,0,1895,0,0,0,9,4.210484,101.975766,2013
Vorkuta,Rus,1279.00,na,305,304,409,642,0,0,0,67.4968967,64.0602175,2013
Zelenogorsk,Rus,1240.75,na,411,147,258,491,200,0,0,60.1967148,29.7006915,2013
Miraflores,Per,1144.00,na,21,0,127,4154,0,0,0,nodata-lat,nodata-lon,2013
Seremban,Mal,1143.50,21,20,0,2207,0,0,0,1,1.537909,103.6622279,2013
Cochabamba,Bol,1122.25,na,40,12,53,4015,0,0,0,nodata-lat,nodata-lon,2013
Leipzig,Ger,1115.00,-95,371,227,292,0,0,0,0,51.3396955,12.3730747,2013
Zagreb,Cro,1069.00,132,69,183,980,1032,0,0,0,45.8150108,15.981919,2013
Kovrov,Rus,1057.25,16,339,325,74,69,0,0,0,56.356769,41.3226311,2013
Herson,Ukr,1056.00,-90,432,40,129,350,0,0,0,24.2300583,91.24062219999999,2013
Oktyabrsky,Rus,1038.80,na,376,157,175,154,38,0,0,54.4772015,53.4895394,2013
Bandar,Putra,Mal,1013.50,64,0,0,2027,0,0,0,0,19.4129014,-99.1859023,2013
Hyderabad,Ind,976.50,-95,276,58,90,886,1000,0,0,17.4421017,78.5054536,2013
Kurgan,Rus,847.00,57,284,41,215,522,0,0,0,57.9371145,59.96003629999999,2013
Centro,Studi,Bh,Ita,836.00,-66,388,0,120,0,0,0,0,27.7840013,85.3564899,2013
New,York,Queens,USA,828.75,-45,256,120,206,375,0,0,0,28.5558863,77.2539484,2013
Blantyre,Mal,785.50,-22,260,42,1,892,0,0,0,27.5759477,77.70085089999999,2013
Phoenix,SA,778.50,na,220,9,90,1138,0,0,4,-20.2758399,57.4958773,2013
Skudai,Mal,746.00,-37,100,0,1092,0,0,0,5,-22.9068467,-43.1728965,2013
Cape,Town,SA,733.00,86,56,48,2,2288,0,0,0,-33.9248685,18.4240553,2013
Seminario,Hare,Bra,700.00,na,0,0,0,2800,0,0,0,nodata-lat,nodata-lon,2013
East,London,SA,694.25,na,101,180,291,667,0,0,0,18.5201045,73.8794015,2013
Gelugor,Mal,674.50,na,40,0,1189,0,0,0,2,5.369117999999999,100.3096991,2013
Lvov,Ukr,673.25,-53,215,10,267,399,0,0,0,49.839683,24.029717,2013
Klang,Mal,672.00,123,0,0,1344,0,0,0,0,3.044917,101.4455621,2013
Pskov,Rus,662.75,128,16,595,68,1,15,0,0,57.8166994,28.3344734,2013
Jeleznogorsk,Rus,657.30,-75,110,185,220,510,148,0,0,39.39987199999999,-8.224454,2013
Copenhagen,Den,611.05,na,37,450,0,289,148,0,0,55.6760968,12.5683371,2013
Rybinsk,Rus,609.25,na,147,216,32,333,0,0,0,52.3332892,35.3669551,2013
Nova,Vrajadhama,Bra,587.45,na,17,14,318,1521,2,0,0,28.5558863,77.2539484,2013
Dar,es,Salaam,Tan,575.75,na,199,115,13,225,0,0,0,32.9208984,75.1346827,2013
Cherepovets,Rus,573.25,na,188,104,133,107,0,0,0,59.132333,37.9091811,2013
Mexico,Youth,To,Mex,563.00,na,160,41,94,620,0,0,0,19.4129014,-99.1859023,2013
Nikolaev,Ukr,551.25,-32,215,14,117,195,0,0,0,42.2808256,-83.7430378,2013
Lugansk,Ukr,511.25,-66,217,8,71,135,0,0,0,48.574041,39.307815,2013
Bukit-Mertajam,Mal,499.00,-68,100,0,598,0,0,0,5,-26.0431661,28.0552003,2013
Goloka,Dhama,Ger,495.50,-30,38,355,129,0,0,0,0,55.4649113,65.3053512,2013
Nibong,Tebal,Mal,472.00,735,0,0,944,0,0,0,0,5.170128,100.4792231,2013
Alchevsk,Ukr,470.00,-63,92,8,345,422,0,0,0,48.4713393,38.8134407,2013
Florianopolis,Bra,455.65,94,23,92,159,947,14,0,0,-27.5953778,-48.5480499,2013
Vinniza,Ukr,445.50,-40,130,26,166,306,0,0,0,6.1248,100.3678178,2013
Mombasa,Ken,440.60,-55,139,35,10,470,51,0,2,-4.0434771,39.6682065,2013
Porto,Velho-Ron,Bra,410.50,na,16,133,120,742,0,0,0,-33.941376,25.5712756,2013
Khmelnitsky,Ukr,408.25,12,129,18,248,33,0,0,0,nodata-lat,nodata-lon,2013
Lutsk,Ukr,407.25,-30,158,36,86,49,0,0,0,50.74723299999999,25.325383,2013
Asuncion,Par,404.65,na,18,11,2,1423,9,0,0,-25.2637399,-57.57592599999999,2013
Caruaru,Bra,398.90,na,23,17,135,1072,4,0,0,-8.2849639,-35.9701874,2013
Lome,Tog,390.25,na,14,99,510,33,0,0,0,6.1724969,1.2313618,2013
Rijeka,Cro,383.00,999,33,10,210,808,0,0,0,45.3270631,14.442176,2013
Lubumbashi,Con,343.00,na,89,120,90,0,0,0,0,-11.6876026,27.5026174,2013
Hale,Krishna,Ha,USA,333.50,na,65,121,99,106,65,0,0,13.6759779,-89.29240639999999,2013
Kuantan,Mal,330.00,296,0,0,660,0,0,0,0,48.6208,22.287883,2013
Melaka,Mal,307.50,999,100,0,215,0,0,0,5,2.189594,102.2500868,2013
Ivano-Frankovsk,Ukr,306.00,37,19,3,20,1020,0,0,0,48.922633,24.711117,2013
Santo,Domingo,Dom,276.75,na,42,29,5,645,0,0,0,19.1130769,72.8262841,2013
Ubatuba,Bra,272.50,na,40,80,0,450,0,0,0,-23.4336578,-45.0838481,2013
Fortaleza,Bra,269.00,na,19,77,18,580,0,0,0,-3.7318616,-38.5266704,2013
Vladimir,Rus,260.60,-36,91,35,14,142,11,0,0,49.233083,28.468217,2013
Lima,Per,259.00,-51,0,0,0,1036,0,0,0,-11.9456792,-76.7103034,2013
Stellenbosch,SA,239.00,na,44,31,76,328,0,0,0,-33.9321045,18.860152,2013
Georgetown,Nima,Guy,221.75,na,10,49,78,439,40,0,0,30.6332618,-97.6779842,2013
Johore,Mal,220.00,999,0,0,440,0,0,0,0,nodata-lat,nodata-lon,2013
New,Gokula-Braz,Bra,210.50,-62,7,0,2,782,0,0,0,28.5558863,77.2539484,2013
Wiesbaden,Ger,209.00,na,37,94,82,0,0,0,0,50.0782184,8.239760799999999,2013
Ipoh,Mal,196.50,-33,0,0,393,0,0,0,0,nodata-lat,nodata-lon,2013
Recife,Bra,191.50,-84,13,2,0,654,0,0,0,-8.0578381,-34.8828969,2013
Mpumalanga,SA,183.25,-25,15,46,64,301,0,0,0,-29.8039699,30.6314948,2013
Pointe,Noire,Con,180.00,na,80,0,40,0,0,0,0,-4.7691623,11.866362,2013
Centro,Cul,Nita,Bra,175.70,na,4,15,115,358,57,0,0,27.7840013,85.3564899,2013
Tulancingo,Mex,175.00,-55,0,0,0,700,0,0,0,nodata-lat,nodata-lon,2013
Karlovac,Cro,170.50,-12,24,62,71,100,0,0,1,45.4928973,15.5552683,2013
Simpang,Empat,Mal,170.50,-48,20,0,261,0,0,0,1,nodata-lat,nodata-lon,2013
Osijek,Cro,162.25,-83,25,58,69,79,0,0,1,45.5549624,18.6955144,2013
Guarulhos,Bra,159.75,na,12,1,6,527,0,0,0,-23.4542498,-46.5337925,2013
Berezniki,Rus,152.25,-84,22,8,4,393,0,0,0,59.41318270000001,56.7849318,2013
Hillsborough,,O,USA,152.00,na,51,50,0,0,0,0,0,45.5286088,-122.9893517,2013
